FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione',NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),NOTE_TIME_PERIOD,Tempo (NOTE_TIME_PERIOD),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
A,Annuale,051002,Arezzo,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2021,2.6,,,,,,,,,,,,,,
A,Annuale,051002,Arezzo,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2022,3.7,,,,,,,,,,,,,,
A,Annuale,051002,Arezzo,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2023,4.9,,,,,,,,,,,,,,
A,Annuale,052032,Siena,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2015,0.2,,,,,,,,,,,,,,
A,Annuale,052032,Siena,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2016,0.3,,,,,,,,,,,,,,
A,Annuale,052032,Siena,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2017,0.2,,,,,,,,,,,,,,
A,Annuale,052032,Siena,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2018,0.4,,,,,,,,,,,,,,
A,Annuale,052032,Siena,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2019,0.5,,,,,,,,,,,,,,
A,Annuale,052032,Siena,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2020,1.6,,,,,,,,,,,,,,
A,Annuale,052032,Siena,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2021,2.4,,,,,,,,,,,,,,
A,Annuale,052032,Siena,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2022,3.5,,,,,,,,,,,,,,
A,Annuale,052032,Siena,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2023,4.7,,,,,,,,,,,,,,
A,Annuale,053011,Grosseto,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2015,..,0,Il dato non raggiunge la metà della cifra minima considerata,,,,,,,,,,,,
A,Annuale,053011,Grosseto,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2016,0.1,,,,,,,,,,,,,,
A,Annuale,053011,Grosseto,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2017,0.1,,,,,,,,,,,,,,
A,Annuale,053011,Grosseto,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2018,0.2,,,,,,,,,,,,,,
A,Annuale,053011,Grosseto,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2019,0.4,,,,,,,,,,,,,,
A,Annuale,053011,Grosseto,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2020,0.9,,,,,,,,,,,,,,
A,Annuale,053011,Grosseto,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2021,2.2,,,,,,,,,,,,,,
A,Annuale,053011,Grosseto,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2022,3.2,,,,,,,,,,,,,,
A,Annuale,053011,Grosseto,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2023,4,,,,,,,,,,,,,,
A,Annuale,100005,Prato,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2015,0.1,,,,,,,,,,,,,,
A,Annuale,100005,Prato,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2016,0.2,,,,,,,,,,,,,,
A,Annuale,100005,Prato,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2017,0.2,,,,,,,,,,,,,,
A,Annuale,100005,Prato,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2018,0.3,,,,,,,,,,,,,,
A,Annuale,100005,Prato,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2019,0.5,,,,,,,,,,,,,,
A,Annuale,100005,Prato,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2020,1.2,,,,,,,,,,,,,,
A,Annuale,100005,Prato,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2021,2.8,,,,,,,,,,,,,,
A,Annuale,100005,Prato,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2022,4.1,,,,,,,,,,,,,,
A,Annuale,100005,Prato,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2023,6.2,,,,,,,,,,,,,,
A,Annuale,054039,Perugia,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2015,0.2,,,,,,,,,,,,,,
A,Annuale,054039,Perugia,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2016,0.2,,,,,,,,,,,,,,
A,Annuale,054039,Perugia,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2017,0.2,,,,,,,,,,,,,,
A,Annuale,054039,Perugia,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2018,0.4,,,,,,,,,,,,,,
A,Annuale,054039,Perugia,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2019,0.7,,,,,,,,,,,,,,
A,Annuale,054039,Perugia,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2020,1.5,,,,,,,,,,,,,,
A,Annuale,054039,Perugia,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2021,3.3,,,,,,,,,,,,,,
A,Annuale,054039,Perugia,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2022,4.3,,,,,,,,,,,,,,
A,Annuale,054039,Perugia,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2023,6,,,,,,,,,,,,,,
A,Annuale,055032,Terni,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2015,..,0,Il dato non raggiunge la metà della cifra minima considerata,,,,,,,,,,,,
A,Annuale,055032,Terni,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2016,..,0,Il dato non raggiunge la metà della cifra minima considerata,,,,,,,,,,,,
A,Annuale,055032,Terni,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2017,0.1,,,,,,,,,,,,,,
A,Annuale,055032,Terni,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2018,0.2,,,,,,,,,,,,,,
A,Annuale,055032,Terni,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2019,0.5,,,,,,,,,,,,,,
A,Annuale,055032,Terni,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2020,1.1,,,,,,,,,,,,,,
