STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,mot_nrg,Motor energy,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE,Diesel,IT,Italy,2015,,15669276,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE,Diesel,IT,Italy,2016,,16263957,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE,Diesel,IT,Italy,2017,,16900141,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE,Diesel,IT,Italy,2018,,17321593,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE,Diesel,IT,Italy,2019,,17486135,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE,Diesel,IT,Italy,2020,,17426703,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE,Diesel,IT,Italy,2021,,17197765,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE,Diesel,IT,Italy,2022,,17100357,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE,Diesel,IT,Italy,2023,,17039273,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE,Diesel,IT,Italy,2024,,16796038,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE,Diesel,NL,Netherlands,2015,,1348059,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE,Diesel,NL,Netherlands,2016,,1340630,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE,Diesel,NL,Netherlands,2017,,1331765,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE,Diesel,NL,Netherlands,2018,,1281777,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE,Diesel,NL,Netherlands,2019,,1197337,,,,,
