FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,TIME_PERIOD,Osservazione,OBS_STATUS,"'Stato dell""'osservazione'",NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),NOTE_TIME_PERIOD,Tempo (NOTE_TIME_PERIOD),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione,Regione
ITCD,Nord,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2016,0.2,,,ITTER107__ITCD_N1,"'Valori riferiti all""'insieme dei comuni capoluogo. Italia", Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',,,,,,,,,,,
ITCD,Nord,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2017,0.3,,,ITTER107__ITCD_N1,"'Valori riferiti all""'insieme dei comuni capoluogo. Italia", Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',,,,,,,,,,,
ITCD,Nord,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2018,0.5,,,ITTER107__ITCD_N1,"'Valori riferiti all""'insieme dei comuni capoluogo. Italia", Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',,,,,,,,,,,
ITCD,Nord,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2019,0.9,,,ITTER107__ITCD_N1,"'Valori riferiti all""'insieme dei comuni capoluogo. Italia", Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',,,,,,,,,,,
ITCD,Nord,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2020,2.2,,,ITTER107__ITCD_N1,"'Valori riferiti all""'insieme dei comuni capoluogo. Italia", Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',,,,,,,,,,,
ITCD,Nord,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2021,4.6,,,ITTER107__ITCD_N1,"'Valori riferiti all""'insieme dei comuni capoluogo. Italia", Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',,,,,,,,,,,
ITCD,Nord,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2022,5.8,,,ITTER107__ITCD_N1,"'Valori riferiti all""'insieme dei comuni capoluogo. Italia", Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',,,,,,,,,,,
ITCD,Nord,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2023,8,,,ITTER107__ITCD_N1,"'Valori riferiti all""'insieme dei comuni capoluogo. Italia", Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',,,,,,,,,,,
ITC,Nord-ovest,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2015,0.2,,,ITTER107__ITC_N1,"'Valori riferiti all""'insieme dei comuni capoluogo. Italia", Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',,,,,,,,,,,
ITC,Nord-ovest,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2016,0.3,,,ITTER107__ITC_N1,"'Valori riferiti all""'insieme dei comuni capoluogo. Italia", Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',,,,,,,,,,,
ITC,Nord-ovest,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2017,0.3,,,ITTER107__ITC_N1,"'Valori riferiti all""'insieme dei comuni capoluogo. Italia", Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',,,,,,,,,,,
ITC,Nord-ovest,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2018,0.5,,,ITTER107__ITC_N1,"'Valori riferiti all""'insieme dei comuni capoluogo. Italia", Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',,,,,,,,,,,
ITC,Nord-ovest,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2019,1,,,ITTER107__ITC_N1,"'Valori riferiti all""'insieme dei comuni capoluogo. Italia", Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',,,,,,,,,,,
ITC,Nord-ovest,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2020,2.2,,,ITTER107__ITC_N1,"'Valori riferiti all""'insieme dei comuni capoluogo. Italia", Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',,,,,,,,,,,
ITC,Nord-ovest,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2021,4.6,,,ITTER107__ITC_N1,"'Valori riferiti all""'insieme dei comuni capoluogo. Italia", Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',,,,,,,,,,,
ITC,Nord-ovest,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2022,5.9,,,ITTER107__ITC_N1,"'Valori riferiti all""'insieme dei comuni capoluogo. Italia", Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',,,,,,,,,,,
ITC,Nord-ovest,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2023,8.3,,,ITTER107__ITC_N1,"'Valori riferiti all""'insieme dei comuni capoluogo. Italia", Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',,,,,,,,,,,
001272,Torino,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2015,0.1,,,,,,,,,,,,,,,,,
001272,Torino,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2016,0.2,,,,,,,,,,,,,,,,,
001272,Torino,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2017,0.2,,,,,,,,,,,,,,,,,
001272,Torino,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2018,0.4,,,,,,,,,,,,,,,,,
001272,Torino,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2019,0.6,,,,,,,,,,,,,,,,,
001272,Torino,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2020,1.7,,,,,,,,,,,,,,,,,
001272,Torino,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2021,3.7,,,,,,,,,,,,,,,,,
001272,Torino,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2022,4.2,,,,,,,,,,,,,,,,,
001272,Torino,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2023,6.7,,,,,,,,,,,,,,,,,
